#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-19T20:11:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ba2acb523c60	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Mass
#-out=Prot
#-out=e_Prot
#-out=n_Prot
#
#
#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	KIC	(I8)	Kepler Input Catalog identifier (Cat. V/133)	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	[3.5/5.4] Star surface gravity (log)	[ucd=phot.sb]
#Column	Mass	(F7.4)	[0.2/1.3] Star mass (1)	[ucd=phys.mass]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
#Column	e_Prot	(F6.3)	[0/51]? Error in Prot	[ucd=stat.error]
#Column	n_Prot	(A3)	Period flag (4)	[ucd=meta.note]
KIC	Teff	log(g)	Mass	Prot	e_Prot	n_Prot
 4243465	4578	 4.55	 0.7221	21.100	 0.183	
 4243508	5126	 4.63	 0.8669	 5.681	 0.006	
 4243697	5831	 4.45	 1.0566	45.428	 0.042	
 4243944	5467	 4.56	 0.9559	19.116	 0.374	
 4244430	4881	 4.48	 0.8033	10.027	 0.012	
 4244594	4579	 4.42	 0.7224	10.592	 0.014	
 4244761	5392	 4.85	 0.9361	 8.021	 0.124	
 4244814	5042	 4.60	 0.8451	 7.791	 0.024	
 4244837	4583	 4.20	 0.7235	11.298	 0.192	
 4245449	5761	 4.00	 1.0366	 2.068	 0.003	
 4245556	5015	 4.49	 0.8381	32.204	 2.717	
 4245945	5621	 4.66	 0.9975	 0.818	 0.006	
 4245970	5417	 4.60	 0.9427	16.541	 3.040	
 4245987	5153	 4.75	 0.8738	 9.225	 0.029	
 4246554	4914	 4.25	 0.8119	14.204	 0.040	
 4246813	4823	 4.50	 0.7880	35.565	 4.801	
 4246911	4586	 4.73	 0.7243	19.912	 0.046	
 4247815	5491	 4.59	 0.9623	13.422	 0.102	
 4247816	5242	 4.75	 0.8969	13.501	 0.097	
 4248293	4569	 4.80	 0.7196	20.692	 0.618	
 4248442	5308	 4.49	 0.9141	15.445	 0.042	
 4248871	5664	 4.31	 1.0093	10.544	 0.068	
 4249145	6222	 3.96	 1.1779	 1.516	 0.006	
 4249232	4906	 4.58	 0.8098	11.882	 0.054	
 4249303	4503	 4.64	 0.7012	37.937	 0.195	
 4249602	5185	 4.43	 0.8821	13.989	 0.042	
 4249702	5219	 3.96	 0.8909	 4.712	 0.003	
 4252390	5691	 4.38	 1.0169	19.489	 0.318	
 4252659	5458	 4.47	 0.9535	14.871	 0.191	
 4253160	5717	 4.32	 1.0241	18.444	 0.930	
 4253418	5950	 4.38	 1.0918	11.083	 0.113	
 4253515	5721	 4.43	 1.0252	17.685	 0.103	
 4253549	5626	 4.42	 0.9989	10.951	 0.438	
 4253694	5841	 4.50	 1.0595	12.867	 0.011	
 4254321	4906	 4.58	 0.8098	16.256	 0.003	
 4254680	5193	 4.61	 0.8842	29.166	 0.336	
 4254709	5932	 4.33	 1.0864	13.782	 1.528	
 4254813	5332	 4.72	 0.9203	13.284	 0.052	
 4254871	4606	 4.52	 0.7298	 1.279	 0.003	
 4255241	4780	 4.27	 0.7767	22.812	 0.088	
 4255244	4712	 4.40	 0.7585	11.939	 0.010	
 4255259	5040	 4.42	 0.8446	22.822	 0.247	
 4255487	5585	 4.50	 0.9877	 7.673	 1.734	
 4255664	5329	 4.54	 0.9195	25.167	 0.852	
 4256388	5582	 4.41	 0.9868	17.616	 0.364	
 4260753	5072	 4.46	 0.8529	 6.789	 0.017	
 4260947	5762	 4.45	 1.0368	 9.111	 0.139	
 4261467	5646	 4.38	 1.0044	 3.247	 0.157	
 4261763	5516	 4.46	 0.9690	17.893	 0.277	
 4261825	4718	 4.47	 0.7601	15.861	 0.062	
 4261960	5042	 4.77	 0.8451	 1.465	 0.007	
 4262484	5771	 4.36	 1.0394	 6.613	 0.004	
 4262615	5081	 4.42	 0.8552	13.239	 0.095	
 4263103	5684	 4.55	 1.0149	 8.218	 0.027	
 4263364	5373	 4.53	 0.9311	27.920	 0.363	
 4263407	5276	 4.39	 0.9057	28.086	 6.855	SM2
 4263703	5122	 4.57	 0.8658	10.384	 0.102	
 4264462	4438	 4.70	 0.6828	12.643	 0.034	
 4265387	5062	 4.55	 0.8503	10.106	 0.234	
 4265675	4792	 4.52	 0.7798	10.646	 0.012	
 4265771	5859	 4.39	 1.0648	12.498	 0.558	
 4268621	5519	 4.34	 0.9698	11.061	 0.094	
 4268631	5619	 4.56	 0.9969	34.594	 0.841	
 4269291	6397	 4.35	 1.2384	 3.801	 0.799	
 4269435	6211	 4.34	 1.1742	 4.761	 1.083	
 4269663	5373	 4.58	 0.9311	24.781	 0.104	
 4270312	6487	 4.32	 1.2714	 1.520	 0.004	
 4270464	5068	 4.55	 0.8519	11.426	 0.128	
 4270543	4586	 4.00	 0.7243	19.159	 0.084	
 4270689	5198	 4.59	 0.8855	 8.125	 0.022	
 4270698	6093	 4.74	 1.1360	 8.046	 0.182	
 4270733	6494	 4.42	 1.2740	 3.658	 0.998	
 4270782	4507	 4.55	 0.7023	31.733	 6.125	
 4270851	5716	 4.57	 1.0238	19.151	 1.149	
 4270924	5243	 4.75	 0.8972	 9.349	 0.023	
 4271063	4960	 4.41	 0.8239	 0.989	 0.004	
 4271079	4889	 4.55	 0.8054	14.601	 0.034	
 4271085	5372	 4.81	 0.9308	28.066	 0.234	
 4271133	5900	 4.69	 1.0769	15.395	 0.213	
 4271218	5219	 4.62	 0.8909	27.026	 0.345	
 4271258	6345	 4.53	 1.2200	 3.065	 0.000	
 4271439	6222	 4.57	 1.1779	 7.990	 0.188	
 4271465	5324	 4.73	 0.9182	11.166	 0.131	
 4271491	5540	 4.58	 0.9755	19.729	 0.183	
 4271550	5703	 4.54	 1.0202	22.720	 0.420	
 4271582	5654	 4.56	 1.0066	16.551	 0.207	
 4271667	5770	 4.78	 1.0391	 4.037	 0.010	
 4273156	6494	 4.02	 1.2740	 2.408	 0.023	
 4273347	5505	 4.64	 0.9661	20.149	 0.282	
 4274263	5483	 4.64	 0.9602	20.835	 0.385	
 4274340	5527	 4.53	 0.9720	28.142	 1.548	
 4274367	5415	 4.75	 0.9421	28.485	 4.611	SM1
 4274394	5726	 4.76	 1.0267	11.144	 0.022	
 4274589	5376	 4.67	 0.9319	19.635	 0.727	
 4274622	4880	 4.54	 0.8030	 7.647	 0.012	
 4274884	5781	 4.43	 1.0423	14.447	 2.296	
 4275197	5281	 4.59	 0.9070	 9.817	 0.066	
 4275542	4907	 4.85	 0.8101	13.998	 0.093	
 4275734	4714	 4.14	 0.7591	36.322	 2.496	
 4275823	5901	 4.51	 1.0772	14.099	 2.118	
 4276009	5537	 4.27	 0.9747	 7.266	 0.366	
 4276035	5020	 4.34	 0.8394	23.769	 0.079	
 4276164	6284	 4.24	 1.1988	 2.542	 0.004	
 4276251	4711	 4.41	 0.7583	22.408	 0.197	
 4276282	6345	 4.45	 1.2200	 1.808	 0.005	
 4276419	5500	 4.67	 0.9647	 2.922	 0.000	
 4276756	5256	 4.91	 0.9005	25.971	 6.702	
 4276769	6013	 4.59	 1.1110	 9.062	 0.054	
 4276976	6281	 4.23	 1.1978	14.610	 0.130	
 4277445	5198	 4.68	 0.8855	27.851	 5.575	
 4277543	4702	 4.59	 0.7558	11.865	 0.054	
 4277595	5646	 4.11	 1.0044	18.952	 0.112	
 4277862	5344	 4.59	 0.9235	12.480	 0.026	
 4277932	5876	 4.40	 1.0698	 2.753	 0.006	
 4278166	5187	 4.56	 0.8826	 6.516	 0.010	
 4278178	5563	 4.63	 0.9817	14.547	 0.199	
 4278232	6368	 4.30	 1.2281	 1.874	 0.010	
 4278891	6048	 4.42	 1.1218	11.615	 0.142	
 4278901	5395	 4.58	 0.9369	 7.373	 0.015	
 4279066	6380	 3.94	 1.2324	12.645	 0.014	
 4279114	6260	 4.29	 1.1907	 1.313	 0.004	
 4279154	5124	 4.76	 0.8663	29.261	 3.402	
 4279582	5533	 4.40	 0.9736	 6.447	 0.014	
 4279612	5273	 4.47	 0.9049	23.038	 1.174	
 4279649	5964	 4.45	 1.0960	 7.639	 0.037	
 4279852	6015	 4.52	 1.1116	 3.722	 0.006	
 4279856	5172	 4.28	 0.8788	30.037	 9.199	
 4280026	5361	 4.31	 0.9279	18.194	 0.611	
 4280347	5400	 4.72	 0.9382	15.194	 0.039	
 4280487	6114	 4.30	 1.1427	12.260	 2.501	
 4280576	5553	 4.54	 0.9790	 0.309	 0.004	
 4280588	6021	 4.50	 1.1134	 2.202	 0.004	
 4280748	5267	 4.75	 0.9034	17.561	 0.039	
 4280926	5176	 4.70	 0.8798	 8.156	 0.066	
 4281026	5522	 4.56	 0.9706	14.650	 0.847	
 4281301	5065	 4.76	 0.8511	 6.866	 0.000	
 4281518	5870	 4.49	 1.0680	10.862	 0.196	
 4281593	5747	 4.54	 1.0326	 4.712	 0.020	
 4281634	5687	 4.52	 1.0157	 7.557	 0.275	
 4281652	4822	 4.63	 0.7878	 9.826	 0.005	
 4281750	4824	 4.51	 0.7883	11.868	 0.014	
 4281783	5644	 4.45	 1.0038	17.474	 0.502	
 4282143	5616	 4.47	 0.9961	18.300	 0.433	
 4282145	5696	 4.58	 1.0182	 9.342	 0.098	
 4282146	5189	 4.56	 0.8832	 9.807	 0.041	
 4282190	5573	 4.35	 0.9844	13.065	 0.148	
 4282463	5349	 4.45	 0.9248	19.753	 0.058	
 4282643	5949	 4.82	 1.0915	 4.932	 0.012	
 4282827	5985	 4.42	 1.1024	17.067	 0.203	
 4283025	5688	 4.46	 1.0160	15.964	 0.356	
 4283067	5552	 4.79	 0.9787	15.966	 0.550	
 4283120	5949	 4.51	 1.0915	 0.517	 0.004	
 4283234	5949	 4.46	 1.0915	 6.389	 0.079	
 4283242	5504	 4.60	 0.9658	 7.909	 0.010	
 4283320	6388	 4.05	 1.2352	15.310	 0.566	
 4283612	6394	 4.24	 1.2374	12.960	 0.051	
 4283688	5291	 4.77	 0.9096	 8.293	 0.010	
 4283751	6225	 4.31	 1.1789	 2.584	 0.015	
 4283752	5946	 4.63	 1.0906	 2.419	 0.011	
 4283986	5502	 4.44	 0.9653	16.412	 0.141	
 4284107	5242	 4.56	 0.8969	10.758	 0.019	
 4284190	5912	 3.73	 1.0804	12.199	 2.260	
 4284211	5371	 4.60	 0.9305	12.436	 0.058	
 4284323	5373	 4.63	 0.9311	23.105	 0.424	
 4284405	5620	 4.59	 0.9972	 2.926	 0.014	
 4284458	6111	 4.45	 1.1417	 4.157	 0.032	
 4284493	5106	 4.47	 0.8617	17.893	 0.051	
 4284521	5930	 4.13	 1.0858	 5.211	 0.109	
 4284968	6344	 3.93	 1.2196	 1.819	 0.642	
 4285156	5121	 4.97	 0.8656	14.093	 0.140	
 4285178	5634	 4.82	 1.0011	 8.992	 0.688	
 4285257	5046	 4.64	 0.8462	18.790	 0.043	
 4285286	5095	 4.61	 0.8588	23.734	 0.282	
 4345018	5257	 4.71	 0.9008	12.670	 0.028	
 4345025	4887	 4.88	 0.8048	28.924	 4.098	
 4345109	5394	 4.43	 0.9366	42.213	 0.642	
 4345411	5715	 4.31	 1.0236	14.804	 2.200	
 4345483	5787	 4.23	 1.0440	15.843	 0.457	
 4345966	4795	 4.62	 0.7806	28.318	 0.186	
 4346803	6213	 4.25	 1.1749	14.995	 0.268	
 4347040	6383	 4.25	 1.2334	 6.922	 0.160	
 4347202	4868	 4.29	 0.7999	27.842	 0.301	
 4347249	5062	 4.54	 0.8503	21.286	 0.685	
 4347313	5596	 4.44	 0.9907	15.386	 0.059	
 4347340	5301	 4.42	 0.9122	 3.165	 0.004	
 4347520	5346	 4.54	 0.9240	 7.896	 0.021	
 4347564	6212	 4.06	 1.1746	 2.003	 0.012	
 4347607	5715	 4.07	 1.0236	23.059	 0.039	
 4347634	5240	 4.25	 0.8964	26.053	 0.447	
 4348175	6121	 4.51	 1.1449	11.307	 0.085	
 4348431	4748	 4.30	 0.7682	13.752	 0.021	
 4348595	5589	 3.83	 0.9887	16.521	 0.291	
 4348801	5100	 4.37	 0.8601	37.156	 1.645	
 4348906	5963	 4.29	 1.0957	12.508	 0.269	
 4348974	5660	 4.24	 1.0082	 2.472	 0.010	
 4349124	4583	 4.47	 0.7235	23.995	 0.684	
 4349780	5144	 4.29	 0.8715	30.837	 1.592	
 4350042	6174	 4.28	 1.1621	 2.989	 0.005	
 4351053	4619	 4.49	 0.7334	16.466	 0.039	
 4351056	4783	 4.82	 0.7775	32.218	 1.788	
 4351278	4602	 4.80	 0.7287	17.282	 0.045	
 4351394	5565	 3.77	 0.9822	15.935	 0.081	
 4351414	4823	 4.32	 0.7880	 0.521	 0.004	
 4351434	4441	 4.54	 0.6836	13.881	 0.035	
 4351886	4873	 4.57	 0.8012	29.424	 3.924	
 4352127	5104	 4.62	 0.8612	21.019	 0.123	
 4352163	4851	 4.50	 0.7954	31.337	 0.619	
 4352328	5191	 4.60	 0.8837	 4.233	 0.028	
 4352472	5127	 4.54	 0.8671	 8.088	 0.014	
 4352552	5925	 4.15	 1.0843	14.475	 0.206	
 4352629	4526	 4.45	 0.7077	22.729	 0.059	
 4354841	4920	 4.95	 0.8135	29.896	 0.264	
 4355025	5260	 4.50	 0.9016	10.039	 0.034	
 4355232	5339	 4.24	 0.9222	12.766	 0.037	
 4355338	4809	 4.30	 0.7843	31.447	 0.903	
 4355362	5679	 4.51	 1.0135	20.015	 2.288	
 4355501	5384	 4.42	 0.9340	25.161	 1.265	
 4355611	5437	 4.52	 0.9480	17.951	 0.160	
 4355696	5413	 4.42	 0.9416	14.319	 0.010	
 4355844	5126	 4.59	 0.8669	 6.028	 0.007	
 4356109	5876	 4.45	 1.0698	18.548	 0.504	
 4356128	4954	 4.63	 0.8223	26.855	 1.033	
 4356391	4723	 4.72	 0.7615	29.796	 0.338	
 4356399	6085	 4.20	 1.1334	16.942	 0.319	
 4356698	5287	 4.25	 0.9086	23.262	 0.492	
 4356743	6434	 4.44	 1.2518	 3.517	 0.071	
 4356750	5667	 4.10	 1.0102	 4.054	 0.003	
 4357102	5158	 4.45	 0.8751	19.936	 0.419	
 4357275	5420	 4.44	 0.9435	21.721	 0.070	SM2
 4357354	5786	 3.82	 1.0437	19.602	 0.108	
 4357578	5179	 4.47	 0.8806	32.622	 6.121	
 4357600	5157	 4.75	 0.8749	29.735	 0.489	
 4358325	4724	 4.83	 0.7617	16.550	 0.042	
 4358360	5553	 4.49	 0.9790	13.552	 0.089	
 4358494	4719	 4.81	 0.7604	14.996	 0.152	
 4358823	5653	 4.43	 1.0063	11.308	 0.054	
 4358855	4619	 4.40	 0.7334	31.080	 1.571	
 4358874	5012	 4.46	 0.8374	32.347	 0.646	
 4358963	5325	 4.91	 0.9185	24.507	 0.305	
 4358965	5877	 4.47	 1.0701	18.254	 0.548	
 4359072	4456	 4.56	 0.6879	27.307	 0.745	
 4359359	5320	 4.66	 0.9172	22.971	 0.164	
 4359491	5265	 4.62	 0.9029	22.492	 0.879	
 4359719	5853	 4.54	 1.0630	17.902	 0.141	
 4359846	5819	 4.32	 1.0532	14.915	 0.172	
 4364377	5063	 3.98	 0.8506	11.253	 0.136	
 4364467	5538	 4.39	 0.9749	 8.261	 0.008	
 4364517	4853	 4.43	 0.7959	 9.485	 0.009	
 4364627	6080	 4.49	 1.1319	 3.165	 0.020	
 4365239	5275	 4.37	 0.9055	 8.161	 0.047	
 4365331	5611	 3.81	 0.9948	17.298	 0.117	
 4365436	4856	 4.64	 0.7967	32.277	 0.350	
 4365571	5642	 4.06	 1.0033	 4.168	 0.026	
 4365655	4970	 4.45	 0.8265	33.169	 1.310	
 4365860	6395	 4.38	 1.2377	 3.280	 1.004	
 4365932	6169	 4.45	 1.1604	12.035	 0.183	
 4366329	5113	 4.60	 0.8635	16.774	 0.195	
 4366418	6147	 4.52	 1.1533	 7.645	 0.147	
 4366445	5439	 3.73	 0.9485	24.071	 0.317	
 4366496	5627	 4.35	 0.9991	 5.815	 0.003	
 4366698	5794	 4.40	 1.0460	17.195	 0.281	
 4366811	4851	 4.68	 0.7954	32.901	 0.188	
 4367157	5680	 4.34	 1.0138	20.180	 0.990	
 4367205	5224	 3.79	 0.8922	32.575	 0.743	
 4367426	4942	 4.28	 0.8192	20.228	 0.058	
 4367551	5930	 4.57	 1.0858	 5.016	 0.014	
 4370514	5595	 4.48	 0.9904	 9.868	 0.046	
 4370617	5094	 4.38	 0.8586	 6.962	 0.229	
 4370718	5609	 4.17	 0.9942	20.327	 0.350	
 4370861	5683	 4.62	 1.0146	 6.745	 0.103	
 4371005	5810	 4.53	 1.0506	11.992	 0.071	
 4371280	4611	 4.74	 0.7312	21.306	 0.082	
 4371436	5946	 4.47	 1.0906	17.850	 0.484	
 4371528	5735	 4.56	 1.0292	12.736	 0.038	
 4371622	5825	 4.29	 1.0549	10.006	 0.222	
 4371625	5948	 3.91	 1.0912	13.743	 0.191	
 4371785	4927	 4.44	 0.8153	32.094	 0.763	
 4371990	6008	 4.40	 1.1094	16.245	 3.158	
 4372156	5120	 4.90	 0.8653	28.321	 3.658	
 4372164	5008	 4.51	 0.8363	15.876	 0.032	
 4372200	4804	 4.35	 0.7830	 9.689	 0.007	
 4372213	6175	 4.42	 1.1624	 2.098	 0.005	
 4372221	5955	 4.59	 1.0933	17.972	 0.466	
 4372247	4809	 4.74	 0.7843	11.299	 0.060	
 4372257	5823	 4.55	 1.0543	11.201	 0.130	
 4372327	6069	 3.95	 1.1284	 1.449	 0.005	
 4372374	5105	 4.58	 0.8614	24.487	 1.000	
 4372541	5596	 4.27	 0.9907	 5.942	 0.009	
 4372559	4785	 4.31	 0.7780	41.682	 0.620	
 4372606	5817	 4.46	 1.0526	 7.613	 0.068	
 4372620	5267	 3.78	 0.9034	44.443	10.146	
 4372825	6211	 4.54	 1.1742	 2.926	 0.005	
 4372876	5821	 4.46	 1.0537	13.982	 0.212	
 4373059	5615	 3.78	 0.9958	26.946	 1.006	
 4373474	6091	 4.52	 1.1353	14.130	 0.287	
 4373508	5682	 4.45	 1.0143	20.540	 0.193	
 4373539	4928	 4.60	 0.8155	33.000	 4.275	
 4373708	4665	 4.63	 0.7459	 9.472	 0.016	
 4373841	5539	 4.53	 0.9752	22.683	 0.183	
 4373846	5399	 4.88	 0.9379	16.214	 0.451	
 4373853	5413	 4.62	 0.9416	11.205	 0.040	
 4374168	5763	 4.48	 1.0371	20.842	 4.119	
 4374245	5480	 4.10	 0.9594	 8.611	 0.022	
 4374634	5783	 4.40	 1.0428	 8.963	 0.071	
 4374659	5578	 4.33	 0.9858	 0.225	 0.000	
 4374768	6208	 3.84	 1.1733	 2.879	 0.007	
 4374959	5478	 4.86	 0.9588	16.847	 0.047	
 4375010	4413	 4.41	 0.6756	33.062	 4.384	
 4375221	5234	 4.49	 0.8948	27.014	 0.340	
 4375358	5036	 4.58	 0.8436	38.851	 3.255	
 4375393	6150	 3.86	 1.1542	14.307	 0.092	
 4375925	6173	 4.12	 1.1617	 0.860	 0.007	
 4377458	5047	 4.68	 0.8464	 9.428	 0.033	
 4378227	4757	 4.41	 0.7706	20.121	 0.058	
 4378237	5785	 4.52	 1.0434	 7.945	 0.122	
 4378560	5984	 4.43	 1.1021	11.774	 0.061	
 4378778	5251	 4.80	 0.8992	25.767	 5.104	
 4379301	5084	 4.53	 0.8560	 5.500	 0.007	
 4379415	4624	 4.53	 0.7347	33.894	 0.600	
 4379451	5805	 4.31	 1.0491	36.597	 8.186	SM1
 4379480	5751	 4.48	 1.0337	15.741	 0.111	
 4379526	5733	 4.53	 1.0286	 7.038	 0.019	
 4379563	4919	 4.50	 0.8132	 9.253	 0.015	
 4379575	5723	 4.55	 1.0258	11.988	 0.099	
 4379599	5396	 4.52	 0.9371	13.913	 0.042	
 4379710	5097	 4.35	 0.8594	24.711	 0.071	
 4379868	6053	 4.21	 1.1234	 4.701	 0.010	
 4379896	5125	 4.71	 0.8666	13.189	 0.060	
 4380053	5765	 4.76	 1.0377	13.745	 1.506	
 4380069	5712	 4.49	 1.0227	 9.502	 2.090	
 4380214	5659	 5.06	 1.0080	 6.226	 0.071	
 4380542	4423	 4.50	 0.6785	24.655	 0.242	
 4380558	6163	 4.44	 1.1585	 0.716	 0.005	
 4381114	4798	 4.62	 0.7814	32.261	 0.526	
 4381273	5983	 4.55	 1.1018	 2.027	 0.005	
 4381358	6069	 4.25	 1.1284	 4.654	 0.008	
 4381416	4980	 4.53	 0.8291	22.968	 0.246	
 4381686	5841	 4.55	 1.0595	 0.280	 0.004	
 4381745	5324	 4.25	 0.9182	10.387	 0.075	
 4381780	4868	 4.14	 0.7999	11.822	 0.058	
 4381927	5611	 4.51	 0.9948	16.957	 0.117	
 4382351	5901	 4.62	 1.0772	 4.399	 0.017	
 4382416	5775	 4.43	 1.0405	11.849	 0.039	
 4382426	5045	 4.50	 0.8459	26.584	 5.715	
 4382617	5752	 4.69	 1.0340	 0.309	 0.004	
 4382700	5716	 3.67	 1.0238	 4.393	 1.041	
 4382785	6370	 4.16	 1.2288	 1.238	 0.008	
 4383012	5735	 4.66	 1.0292	13.686	 0.083	
 4383118	5604	 4.38	 0.9928	38.088	 7.042	
 4383270	5225	 4.42	 0.8925	 0.823	 0.004	
 4383319	5261	 4.53	 0.9018	25.665	 4.412	
 4383349	5961	 4.47	 1.0951	10.296	 0.136	
 4383380	4739	 4.60	 0.7658	12.886	 0.018	
 4383792	5582	 4.63	 0.9868	13.415	 0.060	
 4383803	5542	 4.47	 0.9760	14.308	 0.135	
 4383823	5287	 4.55	 0.9086	 9.023	 0.062	
 4383982	5529	 4.43	 0.9725	 8.381	 0.051	
 4384168	5887	 4.47	 1.0730	 8.048	 0.061	
 4384398	5843	 4.31	 1.0601	 2.347	 0.089	
 4384427	5594	 4.05	 0.9901	 5.705	 0.011	
 4384517	5520	 4.11	 0.9701	14.606	 0.259	
 4384523	5016	 3.90	 0.8384	25.215	 3.301	
 4384825	5895	 4.33	 1.0754	 2.276	 0.060	
 4384832	5385	 4.86	 0.9342	 7.300	 0.042	
 4385158	6202	 4.29	 1.1713	 4.543	 0.069	
 4385250	5653	 4.53	 1.0063	19.197	 0.252	
 4385472	5248	 4.83	 0.8985	11.196	 0.051	
 4385761	5288	 4.65	 0.9088	15.155	 0.052	
 4386659	5511	 3.85	 0.9677	23.514	 1.001	
 4386947	5447	 4.46	 0.9506	 0.646	 0.004	
 4386960	6014	 4.52	 1.1113	 4.921	 0.210	
 4390744	4576	 4.50	 0.7215	 0.366	 0.005	
 4390927	6103	 4.52	 1.1391	 1.989	 0.007	
 4390962	5319	 4.60	 0.9169	21.549	 0.272	
 4390969	5184	 4.48	 0.8819	25.612	 0.308	
 4443393	5734	 4.33	 1.0289	13.594	 0.503	
 4445667	4957	 4.63	 0.8231	21.030	 0.513	
 4445785	5122	 4.52	 0.8658	31.426	 0.185	
 4445884	4956	 4.63	 0.8228	10.962	 0.012	
 4445917	4632	 4.59	 0.7369	29.892	 0.573	
 4446263	6414	 4.26	 1.2446	 6.675	 0.219	
 4446295	5750	 4.36	 1.0334	20.669	 3.411	
 4446299	5355	 4.39	 0.9264	16.438	 0.029	
 4446411	5462	 4.39	 0.9546	 1.256	 0.004	
 4446687	4961	 4.57	 0.8241	28.495	 0.488	
 4446857	4852	 4.53	 0.7957	22.231	 0.052	
 4446877	4736	 4.58	 0.7650	30.362	 0.507	
 4447139	5813	 4.22	 1.0514	 5.279	 0.004	
 4447361	5126	 4.25	 0.8669	28.054	 0.658	
 4447405	5068	 4.03	 0.8519	12.858	 0.165	
 4447852	4603	 4.34	 0.7290	15.311	 0.158	
 4447913	4706	 4.50	 0.7569	36.013	 0.695	
 4448105	5385	 4.46	 0.9342	23.979	 3.739	
 4448256	4884	 4.29	 0.8041	26.066	 0.069	
 4448283	5630	 4.70	 1.0000	15.782	 0.090	
 4448346	5240	 4.50	 0.8964	41.674	11.028	
 4448528	4527	 4.47	 0.7079	27.601	 0.547	
 4448670	4877	 4.42	 0.8022	32.806	 4.296	
 4449181	5270	 4.27	 0.9042	27.105	 3.550	
 4449224	4667	 4.21	 0.7464	35.217	 0.586	
 4449356	5455	 4.28	 0.9527	 5.092	 0.035	
 4449749	5198	 4.57	 0.8855	 5.773	 0.005	
 4449752	5226	 4.55	 0.8927	28.691	 1.215	
 4449778	5652	 4.24	 1.0060	14.087	 0.340	
 4449829	5099	 4.60	 0.8599	12.795	 0.011	
 4449958	5209	 4.54	 0.8883	10.130	 0.018	
 4450028	5768	 3.88	 1.0385	 3.653	 0.006	
 4450034	5838	 4.58	 1.0587	 1.829	 0.005	
 4450048	5461	 4.44	 0.9543	11.818	 0.665	
 4450625	5838	 4.29	 1.0587	19.116	 3.231	
 4451232	5425	 4.37	 0.9448	12.023	 0.085	
 4451401	5282	 4.66	 0.9073	32.316	 6.804	
 4451525	5034	 4.55	 0.8431	10.909	 0.057	
 4451655	5591	 4.57	 0.9893	20.181	 0.112	
 4451746	5440	 4.45	 0.9487	16.749	 0.340	
 4454890	4830	 4.52	 0.7899	 2.256	 0.003	
 4455018	5938	 4.49	 1.0882	 9.376	 0.081	
 4455274	5622	 4.61	 0.9978	17.857	 0.664	
 4455394	5974	 4.12	 1.0991	 7.506	 0.168	
 4456111	4931	 4.33	 0.8163	25.813	 0.299	
 4456137	5120	 4.40	 0.8653	23.620	 0.126	
 4456269	5423	 4.53	 0.9442	18.149	 0.096	
 4456427	5665	 4.41	 1.0096	17.805	 0.204	
 4456983	5950	 4.42	 1.0918	21.326	 0.225	
 4457061	5217	 4.41	 0.8904	22.733	 0.103	
 4457446	4950	 4.43	 0.8213	25.111	 0.136	
 4457475	5128	 4.29	 0.8674	 4.570	 0.004	
 4457722	5480	 4.76	 0.9594	25.031	 0.885	
 4458225	5207	 4.24	 0.8878	22.394	 0.016	
 4458346	4889	 4.31	 0.8054	 8.585	 0.008	
 4458629	5589	 4.81	 0.9887	15.325	 0.100	
 4458638	6182	 4.46	 1.1647	 1.095	 0.003	
 4458639	5168	 4.77	 0.8777	27.491	 0.173	
 4458878	4861	 4.51	 0.7980	16.349	 0.043	
 4458921	5396	 4.82	 0.9371	15.691	 0.093	
 4458935	5067	 4.59	 0.8516	28.060	 0.784	
 4459063	5084	 4.58	 0.8560	22.877	 0.370	
 4459146	5152	 4.55	 0.8736	25.238	 0.791	
 4459343	4836	 4.42	 0.7915	32.369	 0.471	
 4459394	5743	 4.57	 1.0315	 8.972	 0.064	
 4459448	5785	 4.19	 1.0434	 9.846	 0.055	
 4464268	5142	 4.54	 0.8710	15.184	 0.034	
 4464528	6088	 3.89	 1.1344	 0.223	 0.005	
 4464530	6298	 4.18	 1.2037	 0.222	 0.004	
 4464825	5714	 3.84	 1.0233	 7.238	 0.021	
 4464927	4737	 4.60	 0.7652	 8.854	 0.057	
 4465188	6179	 4.34	 1.1637	 3.316	 0.012	
